ID,Nombre,Apellido,Correo,Rol,Estado,Creado
71,Jordi,Borrego,sandreu@example.com,Administrador,activo,"2025-07-09 21:50:40"
6,Luis,Carvajal,madera.carla@example.org,Administrador,activo,"2025-07-07 15:19:38"
7,Víctor,Gonzáles,palomino.miguelangel@example.net,Administrador,activo,"2025-07-07 15:19:40"
10,Gabriela,Farías,yeray32@example.net,Administrador,activo,"2025-07-07 15:19:45"
14,Ona,Cantú,inmaculada86@example.net,Administrador,activo,"2025-07-07 15:19:51"
18,Ainhoa,Alarcón,palacios.sara@example.net,Administrador,activo,"2025-07-07 15:19:57"
19,David,Vela,rgomez@example.com,Administrador,activo,"2025-07-07 15:19:58"
22,Zanchink,Porres,feliperuiz19862014@hotmail.com,Administrador,activo,"2025-07-07 16:06:55"
24,SuperAdmin,Gomez,gmaiqdqw@gmail.com,Administrador,activo,"2025-07-09 21:41:09"
27,Lorena,Archuleta,toro.vera@example.net,Administrador,activo,"2025-07-09 21:41:32"
28,Yeray,Carranza,bpulido@example.net,Administrador,activo,"2025-07-09 21:41:32"
29,Francisco,Olivera,wgracia@example.org,Administrador,activo,"2025-07-09 21:41:33"
31,Pau,Lázaro,dario55@example.net,Administrador,activo,"2025-07-09 21:41:34"
34,"Francisco Javier",Haro,claudia21@example.org,Administrador,activo,"2025-07-09 21:41:35"
36,Sara,Nájera,isaac87@example.net,Administrador,activo,"2025-07-09 21:41:36"
43,Marcos,López,ander06@example.org,Administrador,inactivo,"2025-07-09 21:46:32"
45,Alonso,Valero,daniel.lozano@example.com,Administrador,activo,"2025-07-09 21:46:33"
48,Juan,Estévez,mejia.sofia@example.com,Administrador,activo,"2025-07-09 21:46:34"
49,Rosario,Carrasquillo,ubenito@example.net,Administrador,activo,"2025-07-09 21:46:35"
50,"Ana Isabel",Arias,walmaraz@example.org,Administrador,activo,"2025-07-09 21:46:35"
51,Fernando,Rentería,jose.soto@example.com,Administrador,activo,"2025-07-09 21:46:36"
57,Isaac,Valdez,adam.carmona@example.org,Administrador,activo,"2025-07-09 21:50:19"
59,Sofía,Vargas,lidia.ortiz@example.net,Administrador,activo,"2025-07-09 21:50:23"
64,Gloria,Regalado,jon.cardenas@example.org,Administrador,activo,"2025-07-09 21:50:30"
68,África,Gastélum,quesada.luisa@example.org,Administrador,activo,"2025-07-09 21:50:36"
70,Rubén,Villegas,pcobo@example.net,Administrador,activo,"2025-07-09 21:50:38"
5,Alejandro,Gomez,alejandro@gmailc.om,Administrador,activo,"2025-07-06 22:41:14"
74,Andres,Rondon,rondo@gmail.com,Administrador,activo,"2025-07-11 08:26:29"
75,Andres,htab,rondon142@gmail.com,Administrador,activo,"2025-07-11 10:19:22"
82,"José Antonio",Robledo,wescobedo@example.net,Administrador,activo,"2025-07-11 10:25:04"
84,Adriana,Sanabria,bruno78@example.com,Administrador,inactivo,"2025-07-11 10:25:07"
85,Gael,Sanabria,julia29@example.net,Administrador,activo,"2025-07-11 10:25:08"
86,Lara,Cervántez,rmarin@example.org,Administrador,activo,"2025-07-11 10:25:10"
87,Miguel,Pardo,xlopez@example.org,Administrador,activo,"2025-07-11 10:25:11"
89,Ismael,Cervántez,scarrero@example.net,Administrador,activo,"2025-07-11 10:25:14"
92,"ANDRES RONDON",CONDES,CON_DE@GMAIL.COM,Administrador,activo,"2025-07-11 21:42:17"
9,Marta,Noriega,ainara64@example.com,Funcionario,activo,"2025-07-07 15:19:43"
61,Juana,Vidal,saez.jordi@example.org,Funcionario,activo,"2025-07-09 21:50:26"
83,Joel,Perea,sherrera@example.com,Funcionario,activo,"2025-07-11 10:25:05"
12,Nicolás,Preciado,pons.pilar@example.com,Funcionario,activo,"2025-07-07 15:19:48"
13,Nahia,Murillo,emunguia@example.org,Funcionario,activo,"2025-07-07 15:19:49"
44,Paola,Toro,naia.sepulveda@example.com,Funcionario,activo,"2025-07-09 21:46:32"
73,"Andres muji",ca,andmuc@gmail.com,Funcionario,activo,"2025-07-10 20:59:56"
16,Elena,León,jaime47@example.org,Funcionario,activo,"2025-07-07 15:19:54"
55,"José Manuel",Mares,roberto.ledesma@example.com,Funcionario,activo,"2025-07-09 21:46:37"
63,Blanca,Villa,nora23@example.com,Funcionario,inactivo,"2025-07-09 21:50:28"
80,Biel,Leiva,kzepeda@example.com,Funcionario,activo,"2025-07-11 10:25:01"
46,Joel,Garrido,malmaraz@example.com,Funcionario,inactivo,"2025-07-09 21:46:33"
21,Diana,Medina,bonilla.andres@example.com,Funcionario,activo,"2025-07-07 15:20:01"
47,Joel,Acuña,martin.helena@example.net,Funcionario,activo,"2025-07-09 21:46:34"
90,Martín,Mora,zgiron@example.net,Funcionario,activo,"2025-07-11 10:25:16"
66,Jimena,Velázquez,isaac35@example.org,Funcionario,activo,"2025-07-09 21:50:32"
25,Héctor,Plaza,rayan61@example.net,Funcionario,activo,"2025-07-09 21:41:31"
38,Nadia,Urías,tsanabria@example.com,Funcionario,activo,"2025-07-09 21:41:37"
4,Juanito,Gomez,juanito@gmail.com,Funcionario,activo,"2025-07-06 22:40:13"
81,Gerard,Castro,dmenchaca@example.com,Funcionario,activo,"2025-07-11 10:25:03"
69,Olga,Valentín,erik.muro@example.net,Funcionario,activo,"2025-07-09 21:50:37"
41,Lola,Soliz,yaiza.hinojosa@example.com,Funcionario,activo,"2025-07-09 21:46:31"
40,Elena,"De Jesús",pilar79@example.com,Funcionario,activo,"2025-07-09 21:41:37"
60,Rosario,Conde,francisco.bravo@example.com,Funcionario,activo,"2025-07-09 21:50:25"
33,Martina,Gracia,sonia.garay@example.org,Funcionario,activo,"2025-07-09 21:41:34"
